                   frame  Start Frame
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/vidrecording/chopexec2 (DAT:chopexec)
    0.001 ms       cook   TOP_MovieOut
    0.005 ms       cook   /lcroot/controlsystem/scene1/ctrlin (CHOP:null Selective/Force Cook Check)
    0.015 ms  2505 cook     /lcroot/controlsystem/scene1/select1 (CHOP:select)
    0.003 ms  2504 cook      /lcroot/controlsystem/scene1/ctrlgui1/ctrlout (CHOP:out)
    0.016 ms  2505 cook       /lcroot/controlsystem/scene1/ctrlgui1/rename3 (CHOP:rename)
    0.007 ms  2504 cook        /lcroot/controlsystem/scene1/ctrlgui1/override1 (CHOP:override)
    0.003 ms  2505 cook      /lcroot/controlsystem/scene1/ctrlgui2/ctrlout (CHOP:out)
    0.008 ms  2506 cook       /lcroot/controlsystem/scene1/ctrlgui2/rename3 (CHOP:rename)
    0.006 ms  2505 cook        /lcroot/controlsystem/scene1/ctrlgui2/override1 (CHOP:override)
    0.002 ms  2505 cook      /lcroot/controlsystem/scene1/ctrlgui3/ctrlout (CHOP:out)
    0.008 ms  2506 cook       /lcroot/controlsystem/scene1/ctrlgui3/rename3 (CHOP:rename)
    0.006 ms  2505 cook        /lcroot/controlsystem/scene1/ctrlgui3/override1 (CHOP:override)
    0.002 ms  2505 cook      /lcroot/controlsystem/scene1/ctrlgui4/ctrlout (CHOP:out)
    0.008 ms  2506 cook       /lcroot/controlsystem/scene1/ctrlgui4/rename3 (CHOP:rename)
    0.006 ms  2505 cook        /lcroot/controlsystem/scene1/ctrlgui4/override1 (CHOP:override)
    0.004 ms       cook   /lcroot/controlsystem/scene1/basevalsin (CHOP:null Selective/Force Cook Check)
    0.013 ms  2505 cook     /lcroot/controlsystem/scene1/select2 (CHOP:select)
    0.002 ms  2504 cook      /lcroot/controlsystem/scene1/ctrlgui1/basevalsout (CHOP:out)
    0.007 ms  2505 cook       /lcroot/controlsystem/scene1/ctrlgui1/rename4 (CHOP:rename)
    0.006 ms  2504 cook        /lcroot/controlsystem/scene1/ctrlgui1/override2 (CHOP:override)
    0.001 ms  2504 cook      /lcroot/controlsystem/scene1/ctrlgui2/basevalsout (CHOP:out)
    0.008 ms  2505 cook       /lcroot/controlsystem/scene1/ctrlgui2/rename4 (CHOP:rename)
    0.005 ms  2504 cook        /lcroot/controlsystem/scene1/ctrlgui2/override2 (CHOP:override)
    0.001 ms  2504 cook      /lcroot/controlsystem/scene1/ctrlgui3/basevalsout (CHOP:out)
    0.007 ms  2505 cook       /lcroot/controlsystem/scene1/ctrlgui3/rename4 (CHOP:rename)
    0.005 ms  2504 cook        /lcroot/controlsystem/scene1/ctrlgui3/override2 (CHOP:override)
    0.002 ms  2504 cook      /lcroot/controlsystem/scene1/ctrlgui4/basevalsout (CHOP:out)
    0.006 ms  2505 cook       /lcroot/controlsystem/scene1/ctrlgui4/rename4 (CHOP:rename)
    0.006 ms  2504 cook        /lcroot/controlsystem/scene1/ctrlgui4/override2 (CHOP:override)
    0.001 ms       cook   /lcroot/controlsystem/scene1/scene_core/mix (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene1/scene_core/ctrlin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene1/scene_core/basevalsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene1/scene_core/update_snapshot (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/ctrlgui/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/ctrlgui/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       cook   /lcroot/controlsystem/ctrldisplay/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/ctrldisplay/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/ctrldisplay/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.003 ms       cook   /lcroot/controlsystem/ctrldisplay/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.006 ms       cook   /lcroot/controlscontainer/paramsin (CHOP:null Selective/Force Cook Check)
    0.012 ms  2504 cook     /lcroot/controlscontainer/hold1 (CHOP:hold)
    0.053 ms  2504 cook      /lcroot/controlscontainer/override1 (CHOP:override)
    0.003 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/chopexec3 (DAT:chopexec)
    0.002 ms       cook   /lcroot/controlscontainer/triggerstates (CHOP:null Selective/Force Cook Check)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/roomtwistxslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/roomtwistyslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/maps/id1/midiout_buttons (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/maps/id1/midiout_sliders (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/maps/id2/midiout_buttons (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/maps/id2/midiout_sliders (DAT:chopexec)
    0.001 ms       cook   CHOP_Beat
    0.000 ms       cook   MIDI event check: /local/midi/template/mapmaster1/midiinmap (CHOP:midiinmap)
    0.000 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/template/mapmaster1/midiout_buttons (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/template/mapmaster1/midiout_sliders (DAT:chopexec)
    0.000 ms       cook   MIDI event check: /local/midi/userdevices/bcf2000/mapmaster1/midiinmap (CHOP:midiinmap)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcf2000/mapmaster1/midiout_buttons (DAT:chopexec)
