                   frame  Start Frame
    0.001 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay2/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay2/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay3/ctrlin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay3/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay3/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay3/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay4/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay4/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay4/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay4/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.006 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/state_management/sceneslider/slider/set_knobs (DAT:chopexec)
    0.036 ms  2463 cook     /lcroot/controlsystem/state_management/sceneslider/slider/override (CHOP:select)
    0.004 ms  2464 cook      /lcroot/controlsystem/state_management/sceneslider/slider/in (CHOP:in)
    0.004 ms  2463 cook       /lcroot/controlsystem/state_management/sceneslider/in1 (CHOP:in)
    0.006 ms  2463 cook        /lcroot/controlsystem/state_management/switch1 (CHOP:switch)
    0.009 ms  2464 cook         /lcroot/controlsystem/state_management/math3 (CHOP:math)
    0.010 ms  2463 cook          /lcroot/controlsystem/state_management/constant12 (CHOP:constant)
    0.722 ms       script    /lcroot/controlsystem/state_management/sceneslider/slider/set_knobs /lcroot/controlsystem/state_management/sceneslider/slider/set_knobs (DAT:chopexec)
    0.118 ms  2503 cook      /lcroot/controlsystem/state_management/sceneslider/slider/valuedisplay0 (COMP:container)
    0.161 ms       script     /lcroot/controlsystem/state_management/sceneslider/value/slider_change /lcroot/controlsystem/state_management/sceneslider/value/slider_change (DAT:panelexec)
    0.007 ms       misc      Propagating a Table Change /lcroot/controlsystem/state_management/sceneslider/value/string (DAT:text)
    0.003 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/blurslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/blurslider1/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/camfovslider1/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/camfovslider2/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/echomixslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/mixerbasetrack/chopexec2 (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/mixerbasetrack/alphaslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/mixerroomtrack/chopexec2 (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/mixerroomtrack/alphaslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/mixerblendtrack/chopexec2 (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/mixerblendtrack/alphaslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/timablendslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/echolengthslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/mixerexpandtrack/chopexec2 (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/mixerexpandtrack/alphaslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/expandturbxslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/mixerexplodetrack/chopexec2 (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/mixerexplodetrack/alphaslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/roomspinrateslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/expandtensionslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/rotationamountslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/generalintensityslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/roomshiveramountslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlscontainer/poststutterlengthslider/set_knobs (DAT:chopexec)
    0.000 ms       cook   MIDI event check: /local/maps/id1/midiinmap (CHOP:midiinmap)
    0.000 ms       cook   MIDI event check: /local/maps/id2/midiinmap (CHOP:midiinmap)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/dialogs/timeline/rangebar/set_newuirange (DAT:chopexec)
    0.012 ms       cook   CHOP_Beat
    0.022 ms  2460 cook     /ui/dialogs/timeline/transport/musiccode/beat (CHOP:beat)
    0.003 ms       cook   /ui/dialogs/mainmenu/cookrate (CHOP:null Selective/Force Cook Check)
    0.010 ms  2473 cook     /ui/dialogs/mainmenu/select3 (CHOP:select)
    0.006 ms  2476 cook      /ui/dialogs/mainmenu/perform1 (CHOP:perform)
    0.003 ms       cook   /ui/dialogs/menu_op/family/active (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   Cooking CHOP with 0 channels: /lcroot/audio/bandlowctrl/switch1
    0.002 ms       cook    Propagating changes to other nodes /lcroot/audio/bandlowctrl/switch1 (CHOP:switch)
    0.009 ms  2688 cook     /lcroot/audio/bandlowctrl/switch1 (CHOP:switch)
    0.001 ms  2461 cook      /lcroot/audio/bandlowctrl/actual (CHOP:null)
    0.010 ms  2461 cook       /lcroot/audio/bandlowctrl/logic2 (CHOP:logic)
    0.002 ms       cook   Cooking CHOP with 0 channels: /lcroot/audio/bandmidctrl/switch1
    0.002 ms       cook    Propagating changes to other nodes /lcroot/audio/bandmidctrl/switch1 (CHOP:switch)
    0.005 ms  2688 cook     /lcroot/audio/bandmidctrl/switch1 (CHOP:switch)
    0.001 ms  2461 cook      /lcroot/audio/bandmidctrl/actual (CHOP:null)
    0.008 ms  2461 cook       /lcroot/audio/bandmidctrl/logic2 (CHOP:logic)
    0.002 ms       cook   Cooking CHOP with 0 channels: /lcroot/audio/bandhighctrl/switch1
    0.002 ms       cook    Propagating changes to other nodes /lcroot/audio/bandhighctrl/switch1 (CHOP:switch)
    0.004 ms  2688 cook     /lcroot/audio/bandhighctrl/switch1 (CHOP:switch)
    0.002 ms  2461 cook      /lcroot/audio/bandhighctrl/actual (CHOP:null)
    0.006 ms  2461 cook       /lcroot/audio/bandhighctrl/logic2 (CHOP:logic)
    0.001 ms       cook   Cooking CHOP with 0 channels: /lcroot/audioanalysis/limit3
    0.002 ms       cook    Propagating changes to other nodes /lcroot/audioanalysis/limit3 (CHOP:limit)
    0.004 ms  2688 cook     /lcroot/audioanalysis/limit3 (CHOP:limit)
    0.005 ms  2461 cook      /lcroot/audioanalysis/trail1 (CHOP:trail)
    0.004 ms  2461 cook       /lcroot/audioanalysis/envelope2 (CHOP:envelope)
    0.000 ms   240 long chop      Cooking a CHOP with a long track length /lcroot/audioanalysis/trail1 (CHOP:trail)
    0.000 ms   240 long chop     Cooking a CHOP with a long track length /lcroot/audioanalysis/limit3 (CHOP:limit)
    0.000 ms       cook   Cooking CHOP with 0 channels: /lcroot/audioanalysis/limit4
    0.002 ms       cook    Propagating changes to other nodes /lcroot/audioanalysis/limit4 (CHOP:limit)
    0.003 ms  2688 cook     /lcroot/audioanalysis/limit4 (CHOP:limit)
    0.002 ms  2461 cook      /lcroot/audioanalysis/null1 (CHOP:null)
    0.003 ms  2461 cook       /lcroot/audioanalysis/timeslice1 (CHOP:timeslice)
    0.002 ms       cook   Cooking CHOP with 0 channels: /lcroot/audioanalysis/select6
    0.002 ms       cook    Propagating changes to other nodes /lcroot/audioanalysis/select6 (CHOP:select)
    0.006 ms  2688 cook     /lcroot/audioanalysis/select6 (CHOP:select)
    0.001 ms  2461 cook      /lcroot/audioanalysis/lowpulse (CHOP:null)
    0.005 ms  2461 cook       /lcroot/audioanalysis/trigger1 (CHOP:trigger)
    0.002 ms       cook   Cooking CHOP with 0 channels: /lcroot/audioanalysis/merge1
    0.001 ms       cook    Propagating changes to other nodes /lcroot/audioanalysis/merge1 (CHOP:merge)
    0.004 ms  2688 cook     /lcroot/audioanalysis/merge1 (CHOP:merge)
    0.004 ms  2461 cook      /lcroot/audioanalysis/filter1 (CHOP:filter)
    0.000 ms       cook   Checking for new channels in 0 channel CHOP: /lcroot/audio/bandhighctrl/pass5
    0.002 ms       cook    Propagating changes to other nodes /lcroot/audio/bandhighctrl/pass5 (CHOP:pass)
    0.012 ms  2690 cook     /lcroot/audio/bandhighctrl/pass5 (CHOP:pass)
    0.000 ms       cook   Checking for new channels in 0 channel CHOP: /lcroot/audio/bandmidctrl/pass5
    0.002 ms       cook    Propagating changes to other nodes /lcroot/audio/bandmidctrl/pass5 (CHOP:pass)
    0.008 ms  2690 cook     /lcroot/audio/bandmidctrl/pass5 (CHOP:pass)
    0.001 ms       cook   Checking for new channels in 0 channel CHOP: /lcroot/audio/bandlowctrl/pass5
    0.002 ms       cook    Propagating changes to other nodes /lcroot/audio/bandlowctrl/pass5 (CHOP:pass)
    0.008 ms  2690 cook     /lcroot/audio/bandlowctrl/pass5 (CHOP:pass)
    0.002 ms       cook   Checking for new channels in 0 channel CHOP: /lcroot/components/freqbandctrl/switch1
    0.004 ms       cook    Propagating changes to other nodes /lcroot/components/freqbandctrl/switch1 (CHOP:switch)
    0.004 ms  2687 cook     /lcroot/components/freqbandctrl/switch1 (CHOP:switch)
    0.002 ms  2460 cook      /lcroot/components/freqbandctrl/actual (CHOP:null)
    0.006 ms  2460 cook       /lcroot/components/freqbandctrl/logic2 (CHOP:logic)
    0.002 ms       cook   Cooking CHOP with 0 channels: /lcroot/audio/switch3
    0.002 ms       cook    Propagating changes to other nodes /lcroot/audio/switch3 (CHOP:switch)
    0.002 ms  2687 cook     /lcroot/audio/switch3 (CHOP:switch)
    0.004 ms  2463 cook      /lcroot/audio/solo (CHOP:null)
    0.006 ms  2463 cook       /lcroot/audio/logic2 (CHOP:logic)
    0.002 ms       cook   Checking Exports for: /lcroot/controlsystem/state_management/sceneslider/out1
    0.002 ms  2473 cook     /lcroot/controlsystem/state_management/sceneslider/out1 (CHOP:out)
    0.002 ms  2472 cook      /lcroot/controlsystem/state_management/sceneslider/slider/out1 (CHOP:out)
    0.007 ms  2472 cook       /lcroot/controlsystem/state_management/sceneslider/slider/limit (CHOP:limit)
    0.019 ms  2469 cook        /lcroot/controlsystem/state_management/sceneslider/slider/math1 (CHOP:math)
    0.021 ms  2468 cook         /lcroot/controlsystem/state_management/sceneslider/slider/select1 (CHOP:select)
    0.022 ms  2462 cook          /lcroot/controlsystem/state_management/sceneslider/slider/valuedisplay0/panel1 (CHOP:panel)
    0.086 ms  1368 cook   /lcroot/controlsystem/scene4/ctrldisplay1/rangedisplay/rangeminbar (COMP:container)
    0.002 ms  1367 cook    /lcroot/controlsystem/scene4/ctrldisplay1/rangedisplay/minin (CHOP:null)
    0.002 ms  1366 cook     /lcroot/controlsystem/scene4/ctrldisplay1/rangedisplay/min__in (CHOP:in)
    0.002 ms  1537 cook      /lcroot/controlsystem/scene4/ctrldisplay1/rangeminsin (CHOP:null)
    0.015 ms  2496 cook       /lcroot/controlsystem/scene4/ctrldisplay1/select3 (CHOP:select)
    0.002 ms  2497 cook        /lcroot/controlsystem/scene4/ctrldisplay1/rangemins__in (CHOP:in)
    0.002 ms  2497 cook         /lcroot/controlsystem/scene4/rangeminout1 (CHOP:null)
    0.002 ms  2498 cook          /lcroot/controlsystem/scene4/rangeminout (CHOP:null)
    0.001 ms  2498 cook           /lcroot/controlsystem/scene4/scene_core/rangeminout (CHOP:out)
    0.003 ms  2498 cook            /lcroot/controlsystem/scene4/scene_core/rangemins (CHOP:null)
    0.003 ms  2497 cook             /lcroot/controlsystem/scene4/scene_core/limit3 (CHOP:limit)
    0.008 ms  2496 cook             /lcroot/controlsystem/scene4/scene_core/math5 (CHOP:math)
    0.013 ms  2495 cook             /lcroot/controlsystem/scene4/scene_core/centersnapshot (CHOP:constant)
    0.002 ms  2495 cook             /lcroot/controlsystem/scene4/scene_core/null4 (CHOP:null)
    0.006 ms  2496 cook             /lcroot/controlsystem/scene4/scene_core/cross1 (CHOP:cross)
    0.002 ms  2508 cook             /lcroot/controlsystem/scene4/scene_core/mix (CHOP:null)
    0.004 ms  2484 cook             /lcroot/controlsystem/scene4/scene_core/switch2 (CHOP:switch)
    0.003 ms  2490 cook             /lcroot/controlsystem/scene4/scene_core/state (CHOP:null)
    0.006 ms  2491 cook             /lcroot/controlsystem/scene4/scene_core/merge1 (CHOP:merge)
    0.006 ms  2492 cook             /lcroot/controlsystem/scene4/scene_core/math3 (CHOP:math)
    0.008 ms  2492 cook             /lcroot/controlsystem/scene4/scene_core/math2 (CHOP:math)
    0.022 ms  2492 cook             /lcroot/controlsystem/scene4/scene_core/express1 (CHOP:express)
    0.008 ms  2492 cook             /lcroot/controlsystem/scene4/scene_core/math7 (CHOP:math)
    0.001 ms  2492 cook             /lcroot/controlsystem/scene4/scene_core/transportin (CHOP:null)
    0.002 ms  2491 cook             /lcroot/controlsystem/scene4/scene_core/transport_in (CHOP:in)
    0.002 ms  2490 cook             /lcroot/controlsystem/scene4/transportin (CHOP:null)
    0.002 ms  2490 cook             /lcroot/controlsystem/scene4/transport__in (CHOP:in)
    0.002 ms  2491 cook             /lcroot/controlsystem/transportin (CHOP:null)
    0.007 ms  2491 cook             /lcroot/controlsystem/select1 (CHOP:select)
    0.001 ms  2491 cook             /lcroot/controlsystem/state_management/transportout (CHOP:out)
    0.010 ms  2492 cook             /lcroot/controlsystem/state_management/math1 (CHOP:math)
    0.003 ms  2484 cook             /lcroot/controlsystem/scene4/scene_core/offset (CHOP:null)
    0.003 ms  2483 cook             /lcroot/controlsystem/scene4/scene_core/limit2 (CHOP:limit)
    0.009 ms  2482 cook             /lcroot/controlsystem/scene4/scene_core/math4 (CHOP:math)
    0.045 ms  1368 cook   /lcroot/controlsystem/scene4/ctrldisplay1/rangedisplay/rangemaxbar (COMP:container)
    0.003 ms  1367 cook    /lcroot/controlsystem/scene4/ctrldisplay1/rangedisplay/maxin (CHOP:null)
    0.003 ms  1366 cook     /lcroot/controlsystem/scene4/ctrldisplay1/rangedisplay/max__in (CHOP:in)
    0.001 ms  1368 cook      /lcroot/controlsystem/scene4/ctrldisplay1/rangemaxsin (CHOP:null)
    0.014 ms  2496 cook       /lcroot/controlsystem/scene4/ctrldisplay1/select4 (CHOP:select)
    0.002 ms  2496 cook        /lcroot/controlsystem/scene4/ctrldisplay1/rangemaxs__in (CHOP:in)
    0.001 ms  2496 cook         /lcroot/controlsystem/scene4/rangemaxout1 (CHOP:null)
    0.002 ms  2497 cook          /lcroot/controlsystem/scene4/rangemaxout (CHOP:null)
    0.002 ms  2497 cook           /lcroot/controlsystem/scene4/scene_core/rangemaxout (CHOP:out)
    0.001 ms  2497 cook            /lcroot/controlsystem/scene4/scene_core/rangemaxs (CHOP:null)
    0.005 ms  2497 cook             /lcroot/controlsystem/scene4/scene_core/limit4 (CHOP:limit)
    0.008 ms  2497 cook             /lcroot/controlsystem/scene4/scene_core/math6 (CHOP:math)
    0.063 ms  1368 cook   /lcroot/controlsystem/scene4/ctrldisplay4/rangedisplay/rangeminbar (COMP:container)
    0.003 ms  1367 cook    /lcroot/controlsystem/scene4/ctrldisplay4/rangedisplay/minin (CHOP:null)
    0.002 ms  1366 cook     /lcroot/controlsystem/scene4/ctrldisplay4/rangedisplay/min__in (CHOP:in)
    0.003 ms  1526 cook      /lcroot/controlsystem/scene4/ctrldisplay4/rangeminsin (CHOP:null)
    0.013 ms  2496 cook       /lcroot/controlsystem/scene4/ctrldisplay4/select3 (CHOP:select)
    0.003 ms  2497 cook        /lcroot/controlsystem/scene4/ctrldisplay4/rangemins__in (CHOP:in)
    0.042 ms  1368 cook   /lcroot/controlsystem/scene4/ctrldisplay4/rangedisplay/rangemaxbar (COMP:container)
    0.003 ms  1367 cook    /lcroot/controlsystem/scene4/ctrldisplay4/rangedisplay/maxin (CHOP:null)
    0.002 ms  1366 cook     /lcroot/controlsystem/scene4/ctrldisplay4/rangedisplay/max__in (CHOP:in)
    0.002 ms  1368 cook      /lcroot/controlsystem/scene4/ctrldisplay4/rangemaxsin (CHOP:null)
    0.013 ms  2496 cook       /lcroot/controlsystem/scene4/ctrldisplay4/select4 (CHOP:select)
    0.002 ms  2497 cook        /lcroot/controlsystem/scene4/ctrldisplay4/rangemaxs__in (CHOP:in)
    0.155 ms  2506 cook   /lcroot/controlsystem/state_management/sceneslider/slider/knob0 (COMP:button)
    0.071 ms  1366 cook   /lcroot/controlsystem/scene5/ctrldisplay4/ctrlvalknob (COMP:container)
    0.002 ms  1366 cook    /lcroot/controlsystem/scene5/ctrldisplay4/statein (CHOP:null)
    0.002 ms  1367 cook     /lcroot/controlsystem/scene5/ctrldisplay4/state__in (CHOP:in)
    0.002 ms  1367 cook      /lcroot/controlsystem/scene5/stateout1 (CHOP:null)
    0.002 ms  1367 cook       /lcroot/controlsystem/scene5/stateout (CHOP:null)
    0.001 ms  1366 cook        /lcroot/controlsystem/scene5/scene_core/stateout (CHOP:out)
    0.002 ms  2490 cook         /lcroot/controlsystem/scene5/scene_core/state (CHOP:null)
    0.005 ms  2491 cook          /lcroot/controlsystem/scene5/scene_core/merge1 (CHOP:merge)
    0.008 ms  2492 cook           /lcroot/controlsystem/scene5/scene_core/math3 (CHOP:math)
    0.008 ms  2492 cook            /lcroot/controlsystem/scene5/scene_core/math2 (CHOP:math)
    0.018 ms  2492 cook             /lcroot/controlsystem/scene5/scene_core/express1 (CHOP:express)
    0.010 ms  2492 cook             /lcroot/controlsystem/scene5/scene_core/math7 (CHOP:math)
    0.001 ms  2492 cook             /lcroot/controlsystem/scene5/scene_core/transportin (CHOP:null)
    0.004 ms  2491 cook             /lcroot/controlsystem/scene5/scene_core/transport_in (CHOP:in)
    0.001 ms  2490 cook             /lcroot/controlsystem/scene5/transportin (CHOP:null)
    0.003 ms  2490 cook             /lcroot/controlsystem/scene5/transport__in (CHOP:in)
    0.003 ms  1369 cook    /lcroot/controlsystem/scene5/ctrldisplay4/ctrlin (CHOP:null)
    0.016 ms  2484 cook     /lcroot/controlsystem/scene5/ctrldisplay4/select1 (CHOP:select)
    0.002 ms  2485 cook      /lcroot/controlsystem/scene5/ctrldisplay4/ctrl__in (CHOP:in)
    0.002 ms  2487 cook       /lcroot/controlsystem/scene5/ctrlout1 (CHOP:null)
    0.001 ms  2488 cook        /lcroot/controlsystem/scene5/ctrlout (CHOP:null)
    0.002 ms  2487 cook         /lcroot/controlsystem/scene5/scene_core/ctrlout (CHOP:out)
    0.002 ms  2486 cook          /lcroot/controlsystem/scene5/scene_core/switch1 (CHOP:switch)
    0.040 ms  1366 cook   /lcroot/controlsystem/scene5/ctrldisplay4/snapshotknob (COMP:container)
    0.002 ms  1368 cook    /lcroot/controlsystem/scene5/ctrldisplay4/snapshotin (CHOP:null)
    0.014 ms  2484 cook     /lcroot/controlsystem/scene5/ctrldisplay4/select5 (CHOP:select)
    0.002 ms  2485 cook      /lcroot/controlsystem/scene5/ctrldisplay4/snapshot__in (CHOP:in)
    0.001 ms  2485 cook       /lcroot/controlsystem/scene5/snapshotout1 (CHOP:null)
    0.002 ms  2486 cook        /lcroot/controlsystem/scene5/snapshotout (CHOP:null)
    0.002 ms  2486 cook         /lcroot/controlsystem/scene5/scene_core/snapshotout (CHOP:out)
    0.012 ms  2486 cook          /lcroot/controlsystem/scene5/scene_core/centersnapshot (CHOP:constant)
    0.002 ms  2484 cook           /lcroot/controlsystem/scene5/scene_core/null4 (CHOP:null)
    0.005 ms  2483 cook            /lcroot/controlsystem/scene5/scene_core/cross1 (CHOP:cross)
    0.002 ms  2485 cook             /lcroot/controlsystem/scene5/scene_core/mix (CHOP:null)
    0.004 ms  2483 cook             /lcroot/controlsystem/scene5/scene_core/switch2 (CHOP:switch)
    0.060 ms  1366 cook   /lcroot/controlsystem/scene5/ctrldisplay3/ctrlvalknob (COMP:container)
    0.002 ms  1366 cook    /lcroot/controlsystem/scene5/ctrldisplay3/statein (CHOP:null)
    0.003 ms  1366 cook     /lcroot/controlsystem/scene5/ctrldisplay3/state__in (CHOP:in)
    0.002 ms  1369 cook    /lcroot/controlsystem/scene5/ctrldisplay3/ctrlin (CHOP:null)
    0.014 ms  2484 cook     /lcroot/controlsystem/scene5/ctrldisplay3/select1 (CHOP:select)
    0.002 ms  2485 cook      /lcroot/controlsystem/scene5/ctrldisplay3/ctrl__in (CHOP:in)
    0.064 ms  1366 cook   /lcroot/controlsystem/scene5/ctrldisplay3/snapshotknob (COMP:container)
    0.002 ms  1369 cook    /lcroot/controlsystem/scene5/ctrldisplay3/snapshotin (CHOP:null)
    0.015 ms  2484 cook     /lcroot/controlsystem/scene5/ctrldisplay3/select5 (CHOP:select)
    0.003 ms  2485 cook      /lcroot/controlsystem/scene5/ctrldisplay3/snapshot__in (CHOP:in)
    0.060 ms  1366 cook   /lcroot/controlsystem/scene5/ctrldisplay2/ctrlvalknob (COMP:container)
    0.002 ms  1366 cook    /lcroot/controlsystem/scene5/ctrldisplay2/statein (CHOP:null)
    0.003 ms  1366 cook     /lcroot/controlsystem/scene5/ctrldisplay2/state__in (CHOP:in)
    0.002 ms  1369 cook    /lcroot/controlsystem/scene5/ctrldisplay2/ctrlin (CHOP:null)
    0.014 ms  2484 cook     /lcroot/controlsystem/scene5/ctrldisplay2/select1 (CHOP:select)
    0.002 ms  2485 cook      /lcroot/controlsystem/scene5/ctrldisplay2/ctrl__in (CHOP:in)
    0.037 ms  1366 cook   /lcroot/controlsystem/scene5/ctrldisplay2/snapshotknob (COMP:container)
    0.002 ms  1369 cook    /lcroot/controlsystem/scene5/ctrldisplay2/snapshotin (CHOP:null)
    0.013 ms  2484 cook     /lcroot/controlsystem/scene5/ctrldisplay2/select5 (CHOP:select)
    0.002 ms  2485 cook      /lcroot/controlsystem/scene5/ctrldisplay2/snapshot__in (CHOP:in)
    0.060 ms  1366 cook   /lcroot/controlsystem/scene5/ctrldisplay1/ctrlvalknob (COMP:container)
    0.003 ms  1366 cook    /lcroot/controlsystem/scene5/ctrldisplay1/statein (CHOP:null)
    0.002 ms  1366 cook     /lcroot/controlsystem/scene5/ctrldisplay1/state__in (CHOP:in)
    0.003 ms  1369 cook    /lcroot/controlsystem/scene5/ctrldisplay1/ctrlin (CHOP:null)
    0.012 ms  2484 cook     /lcroot/controlsystem/scene5/ctrldisplay1/select1 (CHOP:select)
    0.003 ms  2485 cook      /lcroot/controlsystem/scene5/ctrldisplay1/ctrl__in (CHOP:in)
    0.037 ms  1366 cook   /lcroot/controlsystem/scene5/ctrldisplay1/snapshotknob (COMP:container)
    0.002 ms  1369 cook    /lcroot/controlsystem/scene5/ctrldisplay1/snapshotin (CHOP:null)
    0.013 ms  2484 cook     /lcroot/controlsystem/scene5/ctrldisplay1/select5 (CHOP:select)
    0.002 ms  2485 cook      /lcroot/controlsystem/scene5/ctrldisplay1/snapshot__in (CHOP:in)
    0.053 ms  1368 cook   /lcroot/controlsystem/scene5/ctrldisplay4/rangedisplay/rangemaxbar (COMP:container)
    0.002 ms  1367 cook    /lcroot/controlsystem/scene5/ctrldisplay4/rangedisplay/maxin (CHOP:null)
    0.003 ms  1366 cook     /lcroot/controlsystem/scene5/ctrldisplay4/rangedisplay/max__in (CHOP:in)
    0.002 ms  1368 cook      /lcroot/controlsystem/scene5/ctrldisplay4/rangemaxsin (CHOP:null)
    0.012 ms  2484 cook       /lcroot/controlsystem/scene5/ctrldisplay4/select4 (CHOP:select)
    0.002 ms  2485 cook        /lcroot/controlsystem/scene5/ctrldisplay4/rangemaxs__in (CHOP:in)
    0.002 ms  2485 cook         /lcroot/controlsystem/scene5/rangemaxout1 (CHOP:null)
    0.001 ms  2486 cook          /lcroot/controlsystem/scene5/rangemaxout (CHOP:null)
    0.002 ms  2486 cook           /lcroot/controlsystem/scene5/scene_core/rangemaxout (CHOP:out)
    0.001 ms  2486 cook            /lcroot/controlsystem/scene5/scene_core/rangemaxs (CHOP:null)
    0.005 ms  2486 cook             /lcroot/controlsystem/scene5/scene_core/limit4 (CHOP:limit)
    0.008 ms  2486 cook             /lcroot/controlsystem/scene5/scene_core/math6 (CHOP:math)
    0.001 ms  2484 cook             /lcroot/controlsystem/scene5/scene_core/offset (CHOP:null)
    0.005 ms  2483 cook             /lcroot/controlsystem/scene5/scene_core/limit2 (CHOP:limit)
    0.010 ms  2482 cook             /lcroot/controlsystem/scene5/scene_core/math4 (CHOP:math)
    0.054 ms  1368 cook   /lcroot/controlsystem/scene5/ctrldisplay4/rangedisplay/rangeminbar (COMP:container)
    0.001 ms  1367 cook    /lcroot/controlsystem/scene5/ctrldisplay4/rangedisplay/minin (CHOP:null)
    0.003 ms  1366 cook     /lcroot/controlsystem/scene5/ctrldisplay4/rangedisplay/min__in (CHOP:in)
    0.002 ms  1368 cook      /lcroot/controlsystem/scene5/ctrldisplay4/rangeminsin (CHOP:null)
    0.012 ms  2484 cook       /lcroot/controlsystem/scene5/ctrldisplay4/select3 (CHOP:select)
    0.002 ms  2485 cook        /lcroot/controlsystem/scene5/ctrldisplay4/rangemins__in (CHOP:in)
    0.002 ms  2485 cook         /lcroot/controlsystem/scene5/rangeminout1 (CHOP:null)
    0.002 ms  2486 cook          /lcroot/controlsystem/scene5/rangeminout (CHOP:null)
    0.001 ms  2486 cook           /lcroot/controlsystem/scene5/scene_core/rangeminout (CHOP:out)
    0.002 ms  2486 cook            /lcroot/controlsystem/scene5/scene_core/rangemins (CHOP:null)
    0.005 ms  2485 cook             /lcroot/controlsystem/scene5/scene_core/limit3 (CHOP:limit)
    0.008 ms  2484 cook             /lcroot/controlsystem/scene5/scene_core/math5 (CHOP:math)
    0.048 ms  1368 cook   /lcroot/controlsystem/scene5/ctrldisplay3/rangedisplay/rangemaxbar (COMP:container)
    0.003 ms  1367 cook    /lcroot/controlsystem/scene5/ctrldisplay3/rangedisplay/maxin (CHOP:null)
    0.002 ms  1366 cook     /lcroot/controlsystem/scene5/ctrldisplay3/rangedisplay/max__in (CHOP:in)
